Precompute geometric measures at collocation points.
Done.
Start training.
Inner energy: 9.38e-03, Energy share (memb./bend./shear): 7.61e-03/1.10e-03/6.72e-04, Work: 1.88e-02
Inner energy: 9.32e-03, Energy share (memb./bend./shear): 7.56e-03/1.08e-03/6.80e-04, Work: 1.87e-02
Inner energy: 9.35e-03, Energy share (memb./bend./shear): 7.59e-03/1.09e-03/6.76e-04, Work: 1.87e-02
Inner energy: 9.35e-03, Energy share (memb./bend./shear): 7.59e-03/1.10e-03/6.55e-04, Work: 1.88e-02
Inner energy: 9.42e-03, Energy share (memb./bend./shear): 7.65e-03/1.13e-03/6.40e-04, Work: 1.88e-02
Inner energy: 9.40e-03, Energy share (memb./bend./shear): 7.63e-03/1.14e-03/6.33e-04, Work: 1.88e-02
Inner energy: 9.43e-03, Energy share (memb./bend./shear): 7.65e-03/1.14e-03/6.35e-04, Work: 1.89e-02
Inner energy: 9.46e-03, Energy share (memb./bend./shear): 7.67e-03/1.13e-03/6.57e-04, Work: 1.89e-02
Inner energy: 9.42e-03, Energy share (memb./bend./shear): 7.63e-03/1.13e-03/6.51e-04, Work: 1.88e-02
Inner energy: 9.42e-03, Energy share (memb./bend./shear): 7.64e-03/1.13e-03/6.57e-04, Work: 1.89e-02
Inner energy: 9.40e-03, Energy share (memb./bend./shear): 7.61e-03/1.15e-03/6.39e-04, Work: 1.88e-02
Inner energy: 9.53e-03, Energy share (memb./bend./shear): 7.71e-03/1.18e-03/6.43e-04, Work: 1.90e-02
Inner energy: 9.51e-03, Energy share (memb./bend./shear): 7.69e-03/1.20e-03/6.22e-04, Work: 1.90e-02
Inner energy: 9.54e-03, Energy share (memb./bend./shear): 7.70e-03/1.20e-03/6.37e-04, Work: 1.90e-02
Inner energy: 9.47e-03, Energy share (memb./bend./shear): 7.64e-03/1.21e-03/6.21e-04, Work: 1.89e-02
Inner energy: 9.45e-03, Energy share (memb./bend./shear): 7.63e-03/1.19e-03/6.33e-04, Work: 1.89e-02
